route_id,route_short_name,agency_id,route_long_name,route_type
300A,300A,51,Korle Bu Station to Abeka lapaz,3
303A,303A,51,Korle Bu Station to Mallam Station,3
306A,306A,51,Korle Bu Station to Darkuman Station,3
072B,072B,12,Caprice to Accra Newtown,3
291B,291B,83,Korle Bu Station to Kaneshie Mkt Cmplx,3
048B,048B,5,Korle Bu Station to Abeka lapaz,3
428B,428B,48,Tsui Bleeo to Circle Odorna Station,3
231B,231B,10,Weija Station to Accra CMB,3
349B,349B,46,Yellow House to Abeka lapaz,3
072A,072A,12,Accra New Town Station to Caprice,3
026A,026A,4,Accra UTC Taxi Rank to Abeka Station near Market,3
075A,075A,38,Accra Zongo Lane to Dansoman Laststop,3
419B,419B,48,Agblezah Station to Circle,3
085B,085B,21,Akweteman Zongo to Achimota,3
163A,163A,87,Apapa Station to Accra New Tema Station,3
173A,173A,87,Bishop Station to Cantonments Station,3
467B,467B,98,Blue Lagoon to Rawlings Park,3
178A,178A,33,Bubiashie Control to Kaneshie Mkt Cmplx,3
117B,117B,91,Tema Main Station to Achimota Station,3
347B,347B,18,Tema Main Station to Abeka lapaz,3
470B,470B,88,Osu Penta to Rawlings Park,3
207B,207B,25,Ridge Hospital to Circle Coporative Station,3
480A,480A,11,Shiabu to Agbogbloshie Station No. 2,3
492B,492B,41,Tabora Alhaji Station to Kaneshie Mkt Cmplx,3
313B,313B,61,A-Lang Station to Kwashieman Station,3
348B,348B,46,Tetteh Quarshie to Abeka lapaz,3
208A,208A,97,UTC Station to Osu Blow Up,3
223B,223B,10,Ablekuma to Accra CMB,3
540B,540B,89,Agege to Zongo Junction,3
155B,155B,90,Akoto Lante to Kaneshie Mkt Cmplx,3
472B,472B,35,Alhaji Station to Salaga Station,3
474B,474B,90,Appiah Danquah to Salaga Station,3
188B,188B,31,Asore Danho to Circle,3
167A,167A,33,Atico to Kaneshie Mkt Cmplx,3
324B,324B,62,Auntie Aku station to Kwashieman Station,3
242B,242B,36,Odorkor Station to Dansoman Laststop,3
228B,228B,10,Odorkor Station to Accra CMB,3
445A,445A,11,Opetekwei Station to Circle,3
188A,188A,31,Circle Odorna Station to Asore Danho,3
205A,205A,25,UTC Station to Osu RE,3
238B,238B,36,Circle to Dansoman Laststop,3
524A,524A,87,Accra New Tema Station to Banana Inn Taxi Station,3
417B,417B,74,Accra New Tema Station to Nima Overhead Station,3
269B,269B,50,Bubiashie Station to Kaneshie Mkt Cmplx,3
995A,995A,0,Accra New Tema Station to Zamrara Line,3
156A,156A,26,Alajo Taxi Rank to Accra CMB,3
067B,067B,8,Alhaji to Accra CMB,3
157A,157A,26,Alajo Taxi Rank to Circle,3
441B,441B,84,American House to Okponglo Taxi Station,3
344A,344A,46,Abeka lapaz to Santa Maria,3
348A,348A,46,Abeka lapaz to Tetteh Quarshie,3
351B,351B,20,Dome Station to Legon Station,3
255A,255A,43,East Legon to Circle Odorna Station,3
260A,260A,11,Ebenezer to Accra Bishop,3
055B,055B,67,Osu Blow Up to Abeka lapaz,3
472A,472A,35,Salaga Station to Alhaji Station,3
163B,163B,87,Accra New Tema Station to Apapa Station,3
080A,080A,28,Achimota Station to Accra UTC,3
174B,174B,32,Bubiashie Atico Station to Ayigbe Town,3
176B,176B,32,Bubiashie Atico Station to Bubiashie Atico,3
176A,176A,32,Bubiashie Atico to Circle Odorna Station,3
300B,300B,51,Abeka lapaz to Korle Bu Station,3
207A,207A,25,Circle Coporative Station to Ridge Hospital,3
381A,381A,46,H to Israel Station,3
082A,082A,21,Achimota Station to Station 082,3
203(1)B,2031B,0,Orgle Road Station to Circle,3
203(2)B,2032B,0,Orgle Road Station to Circle,3
403A,403A,70,Nima Overhead Station to Accra CMB,3
373A,373A,13,Accra New Tema Station to Dzorwulu Station,3
401A,401A,70,Nima Overhead Station to Israel Station,3
317B,317B,58,Abeka lapaz to Kwashieman Station,3
322B,322B,60,Accra CMB to Kwashieman Station,3
328B,328B,59,Rawlings Park to Kwashieman Station,3
339A,339A,3,Abeka lapaz to Madina Station,3
075B,075B,38,Agege to Accra Zongo Lane,3
065A,065A,8,Accra CMB to Darkuman Station,3
185B,185B,17,Agbobloshie Station to Chorkor Station,3
326A,326A,62,Kwashieman Station to Sowutuom Station,3
409A,409A,70,Nima Overhead Station to Sowutuom Station,3
447A,447A,11,Opetekwei Station to Accra New Tema Station,3
384B,384B,16,Tema Main Station to Accra New Tema Station,3
031A,031A,67,Abeka lapaz to 37 Station,3
070B,070B,42,Accra End of Motorway to American House,3
080B,080B,28,Accra UTC to Achimota Station,3
082B,082B,21,Adjiringanor to Achimota Station,3
212B,212B,97,Tema Station to Circle,3
288A,288A,80,Kaneshie Mkt Cmplx to Swanlake Laststop,3
290A,290A,83,Kaneshie Mkt Cmplx to Dansoman Laststop,3
388A,388A,52,New Town Station to Kasoa Station,3
311B,311B,57,Accra New Tema Station to Kotobabi Down Station,3
345B,345B,57,Achimota to Kotobabi Down Station,3
342B,342B,46,Omanjor Station to Abeka lapaz,3
098A,098A,18,Achimota Station to Abeka lapaz,3
333B,333B,3,Adenta Station to Abeka lapaz,3
090A,090A,18,Achimota Station to Darkuman Station,3
248B,248B,41,Accra CMB to Darkuman Station,3
403B,403B,70,Accra CMB to Nima Overhead Station,3
357B,357B,69,Kotobabi Down Station to Mallam Atta Station,3
391A,391A,72,New Town Station to Nima Overhead Station,3
469A,469A,98,Rawlings Park to Nungua Station,3
293A,293A,83,Kaneshie Mkt Cmplx to Mamprobi C. Lante,3
030B,030B,4,Mallam Atta Station to Abeka Main Markt,3
391B,391B,0,Nima Overhead Station to Accra New Town Station,3
066B,066B,72,Nima Overhead Station to Accra Taxi Rank,3
177B,177B,32,Accra CMB to Bubiashie Ayigbe Town,3
172B,172B,30,Tema Station to Banana Inn,3
278B,278B,52,New Town Station to Bus Stop 278,3
443A,443A,84,Okponglo Taxi Station to Christian,3
412A,412A,74,Nima Overhead Station to Agbobloshie Station No. 2,3
048A,048A,5,Abeka lapaz to Korle Bu Station,3
225A,225A,10,Accra CMB to Fan Milk,3
402A,402A,70,Nima Overhead Station to Awoshie Station,3
118A,118A,23,Achimota Station to Teshie Nungua,3
383A,383A,16,Accra New Tema Station to Ashaiman Station,3
267B,267B,51,Soko Station to Kaneshie Mkt Cmplx,3
452A,452A,33,Orgle Road Station to Kaneshie Mkt Cmplx,3
393A,393A,74,Nima Overhead Station to Accra New Tema Station,3
006A,006A,2,Abeka lapaz to Sakumono station,3
014A,014A,94,Abeka lapaz to Circle,3
416A,416A,87,New Tema Station to Cantonments Station,3
425B,425B,0,Nungua Station to Circle Odorna Station,3
410A,410A,70,Nima Overhead Station to Sukura Station,3
165B,165B,54,Odorkor Station to Arena Station,3
036B,036B,5,Agbogbloshie Station No. 2 to Abeka lapaz,3
366B,366B,0,Agbogbloshie Station No. 2 to New Fadama,3
266B,266B,92,Afropa to Kaneshie Mkt Cmplx,3
997B,997B,96,Circle Opps. Vodafone to UTC Station,3
